company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
#Paid,Toronto,Marketing,19,0.17,1/27/2023,"Series B",Canada,21
#Paid,Toronto,Marketing,19,0.17,1/27/2023,"Series B",Canada,21
"80 Acres Farms",Cincinnati,Food,NULL,0.1,1/18/2023,Unknown,"United States",275
"80 Acres Farms",Cincinnati,Food,NULL,0.1,1/18/2023,Unknown,"United States",275
8x8,"SF Bay Area",Support,155,0.07,1/18/2023,Post-IPO,"United States",253
8x8,"SF Bay Area",Support,155,0.07,1/18/2023,Post-IPO,"United States",253
Addepar,"SF Bay Area",Finance,20,0.03,1/18/2023,"Series F","United States",491
Addepar,"SF Bay Area",Finance,20,0.03,1/18/2023,"Series F","United States",491
Adobe,"SF Bay Area",Marketing,100,NULL,12/6/2022,Post-IPO,"United States",2
Adobe,"SF Bay Area",Marketing,100,NULL,12/6/2022,Post-IPO,"United States",2
Affirm,"SF Bay Area",Finance,500,0.19,2/8/2023,Post-IPO,"United States",1500
Affirm,"SF Bay Area",Finance,500,0.19,2/8/2023,Post-IPO,"United States",1500
Airbnb,"SF Bay Area",,30,NULL,3/3/2023,Post-IPO,"United States",6400
Airbnb,"SF Bay Area",,30,NULL,3/3/2023,Post-IPO,"United States",6400
Airtable,"SF Bay Area",Product,254,0.2,12/8/2022,"Series F","United States",1400
Airtable,"SF Bay Area",Product,254,0.2,12/8/2022,"Series F","United States",1400
Aiven,Helsinki,Infrastructure,NULL,0.2,1/18/2023,"Series D",Finland,420
Aiven,Helsinki,Infrastructure,NULL,0.2,1/18/2023,"Series D",Finland,420
"Akili Labs",Baltimore,Healthcare,46,0.3,1/12/2023,Seed,"United States",NULL
"Akili Labs",Baltimore,Healthcare,46,0.3,1/12/2023,Seed,"United States",NULL
Alerzo,Ibadan,Retail,400,NULL,3/6/2023,"Series B",Nigeria,16
Alerzo,Ibadan,Retail,400,NULL,3/6/2023,"Series B",Nigeria,16
Alice,"Sao Paulo",Healthcare,113,0.16,12/9/2022,"Series C",Brazil,174
Alice,"Sao Paulo",Healthcare,113,0.16,12/9/2022,"Series C",Brazil,174
Amazon,Seattle,Retail,8000,0.02,1/4/2023,Post-IPO,"United States",108
Amazon,Seattle,Retail,8000,0.02,1/4/2023,Post-IPO,"United States",108
"Ambev Tech",Blumenau,Food,50,NULL,3/2/2023,Acquired,Brazil,NULL
"Ambev Tech",Blumenau,Food,50,NULL,3/2/2023,Acquired,Brazil,NULL
Amdocs,"St. Louis",Support,700,0.03,1/2/2023,Post-IPO,"United States",NULL
Amdocs,"St. Louis",Support,700,0.03,1/2/2023,Post-IPO,"United States",NULL
"American Robotics",Boston,Other,50,0.65,1/17/2023,Acquired,"United States",92
"American Robotics",Boston,Other,50,0.65,1/17/2023,Acquired,"United States",92
Amount,Chicago,Finance,130,0.25,2/27/2023,Unknown,"United States",283
Amount,Chicago,Finance,130,0.25,2/27/2023,Unknown,"United States",283
Apollo,"SF Bay Area",Product,NULL,0.15,12/15/2022,"Series D","United States",183
Apollo,"SF Bay Area",Product,NULL,0.15,12/15/2022,"Series D","United States",183
Appgate,Miami,Security,34,0.08,2/1/2023,Post-IPO,"United States",NULL
Appgate,Miami,Security,34,0.08,2/1/2023,Post-IPO,"United States",NULL
"Arch Oncology",Brisbane,Healthcare,NULL,1,1/13/2023,"Series C","United States",155
"Arch Oncology",Brisbane,Healthcare,NULL,1,1/13/2023,"Series C","United States",155
Armis,"SF Bay Area",Security,25,0.04,12/8/2022,"Private Equity","United States",537
Armis,"SF Bay Area",Security,25,0.04,12/8/2022,"Private Equity","United States",537
Arrival,London,Transportation,800,0.5,1/30/2023,Post-IPO,"United Kingdom",629
Arrival,London,Transportation,800,0.5,1/30/2023,Post-IPO,"United Kingdom",629
Articulate,"New York City",Education,38,NULL,2/2/2023,"Series A","United States",1500
Articulate,"New York City",Education,38,NULL,2/2/2023,"Series A","United States",1500
Astronomer,Cincinnati,Data,76,0.2,1/4/2023,"Series C","United States",282
Astronomer,Cincinnati,Data,76,0.2,1/4/2023,"Series C","United States",282
Atlassian,Sydney,Other,500,0.05,3/6/2023,Post-IPO,Australia,210
Atlassian,Sydney,Other,500,0.05,3/6/2023,Post-IPO,Australia,210
Attentive,"New York City",Marketing,NULL,0.15,1/5/2023,"Series E","United States",863
Attentive,"New York City",Marketing,NULL,0.15,1/5/2023,"Series E","United States",863
AU10TIX,"Tel Aviv",Security,19,0.09,1/31/2023,Unknown,Israel,80
AU10TIX,"Tel Aviv",Security,19,0.09,1/31/2023,Unknown,Israel,80
Augury,"New York City",Manufacturing,20,0.05,1/4/2023,"Series E","United States",274
Augury,"New York City",Manufacturing,20,0.05,1/4/2023,"Series E","United States",274
Autodesk,"SF Bay Area",Other,250,0.02,2/2/2023,Post-IPO,"United States",NULL
Autodesk,"SF Bay Area",Other,250,0.02,2/2/2023,Post-IPO,"United States",NULL
"Back Market",Paris,Retail,93,0.13,12/23/2022,"Series E",France,1000
"Back Market",Paris,Retail,93,0.13,12/23/2022,"Series E",France,1000
Bakkt,Atlanta,Crypto,NULL,0.15,12/8/2022,Post-IPO,"United States",932
Bakkt,Atlanta,Crypto,NULL,0.15,12/8/2022,Post-IPO,"United States",932
"Bally's Interactive",Providence,NULL,NULL,0.15,1/18/2023,Post-IPO,"United States",946
"Bally's Interactive",Providence,NULL,NULL,0.15,1/18/2023,Post-IPO,"United States",946
Balto,"St. Louis",Sales,35,NULL,12/12/2022,"Series B","United States",51
Balto,"St. Louis",Sales,35,NULL,12/12/2022,"Series B","United States",51
Baraja,Sydney,Transportation,NULL,0.75,2/8/2023,Unknown,Australia,63
Baraja,Sydney,Transportation,NULL,0.75,2/8/2023,Unknown,Australia,63
Bark,"New York City",Retail,126,0.12,2/9/2023,Post-IPO,"United States",NULL
Bark,"New York City",Retail,126,0.12,2/9/2023,Post-IPO,"United States",NULL
"Beam Benefits",Columbus,Healthcare,31,0.08,2/8/2023,"Series E","United States",168
"Beam Benefits",Columbus,Healthcare,31,0.08,2/8/2023,"Series E","United States",168
Beamery,London,HR,NULL,0.12,1/10/2023,"Series D","United States",223
Beamery,London,HR,NULL,0.12,1/10/2023,"Series D","United States",223
Benevity,Calgary,Other,137,0.14,1/18/2023,Unknown,Canada,69
Benevity,Calgary,Other,137,0.14,1/18/2023,Unknown,Canada,69
Betterfly,Santiago,Healthcare,NULL,0.3,1/18/2023,"Series C",Chile,204
